SKU,GTIN,Name,Cost,Price,Quantity,Unit,Category
SKU-ROKK-000001,8994450690053,R-TIGA CROWN BERRY ISI 12,10000,150000,8,pcs,Rokok
SKU-ROKK-000002,8994450690039,R-TIGA CROWN PREMIUM ISI 16,10000,150000,8,pcs,Rokok
SKU-ROKK-000003,8999552019948,117 ORIGINAL ISI 12,10000,150000,15,pcs,Rokok
SKU-ROKK-000004,7624971879606,117 ORIGINAL ISI 16,10000,150000,18,pcs,Rokok
SKU-ROKK-000005,8994450690015,TIGA BERLIAN ISI 12,10000,150000,15,pcs,Rokok
SKU-ROKK-000006,,sekuter keretek isi 16,10000,150000,10,pcs,Rokok
SKU-ROKK-000007,,dua Dewi isi 12,10000,150000,10,pcs,Rokok
SKU-ROKK-000008,8998989110129,gudang garam Surya isi 12,10000,150000,9,pcs,Rokok
SKU-ROKK-000009,8997033340345,andalan baru isi 12,10000,150000,8,pcs,Rokok
SKU-ROKK-000010,8997033340352,andalan baru isi 16,10000,150000,2,pcs,Rokok
SKU-ROKK-000011,8991906106250,76 kretek rasa apel isi 12,10000,150000,6,pcs,Rokok
SKU-ROKK-000012,8994456480009,age pro kretek isi 12,10000,150000,6,pcs,Rokok
SKU-ROKK-000013,8998127111117,bentoel sjt isi 12,10000,150000,10,pcs,Rokok
SKU-ROKK-000014,,dua Dewi classic isi 12,10000,150000,10,pcs,Rokok
SKU-ROKK-000015,8991910101531,raptor isi 12,10000,150000,10,pcs,Rokok
SKU-ROKK-000016,8999909028999,dji sam Soe super premium isi 12,10000,150000,9,pcs,Rokok
SKU-ROKK-000017,8991918101014,geo mild isi 12,10000,150000,10,pcs,Rokok
SKU-ROKK-000018,8999909012547,Sampoerna prima isi 16,10000,150000,9,pcs,Rokok
SKU-ROKK-000019,,PS cigarettes isi 12,10000,150000,1,pcs,Rokok
SKU-ROKK-000020,,korek,10000,150000,27,pcs,Rokok
